sentence,type,object number,formatted sentence,selected option,time,is_match
create account,camelCase,3,createAccount,createAccount,2.129,True
update record,kebab,3,update-record,update-record,4.668,True
delete user,kebab,3,delete-user,delete-user,2.597,True
load file,kebab,3,load-file,load-file,2.599,True
delete user,camelCase,3,deleteUser,deleteUser,1.705,True
search item,camelCase,3,searchItem,searchItem,1.786,True
delete user,kebab,3,delete-user,delete-user,2.544,True
load file,kebab,3,load-file,load-file,2.635,True
add item,kebab,4,add-item,add-item,2.383,True
load file,camelCase,4,loadFile,loudFile,2.956,False
send email,kebab,4,send-email,send-email,3.204,True
update record,camelCase,4,updateRecord,updateRecord,3.885,True
play video,camelCase,4,playVideo,playVideo,2.275,True
search item,kebab,4,search-item,search-item,5.893,True
play video,kebab,4,play-video,play-video,2.434,True
add item,camelCase,4,addItem,addItem,2.633,True
calculate sum,camelCase,4,calculateSum,calculateSum,1.625,True
find user,camelCase,4,findUser,findUser,2.162,True
send email,camelCase,4,sendEmail,sendEmail,2.606,True
calculate sum,kebab,4,calculate-sum,calculate-sum,5.668,True
find user,kebab,4,find-user,find-user,4.040,True
find user,camelCase,4,findUser,findUser,2.017,True
create account,camelCase,4,createAccount,createAccount,1.810,True
update record,kebab,4,update-record,update-record,2.784,True
delete user,kebab,4,delete-user,delete-user,4.262,True
load file,kebab,4,load-file,load-file,4.710,True
delete user,camelCase,4,deleteUser,deleteUser,2.421,True
search item,camelCase,4,searchItem,searchItem,1.646,True
delete user,kebab,4,delete-user,delete-user,7.586,True
load file,kebab,4,load-file,load-file,3.453,True
add item,kebab,5,add-item,add-item,2.334,True
load file,camelCase,5,loadFile,loadFile,1.938,True
send email,kebab,5,send-email,send-email,2.582,True
update record,camelCase,5,updateRecord,updateRecord,2.102,True
play video,camelCase,5,playVideo,playVideo,1.793,True
search item,kebab,5,search-item,search-item,3.644,True
play video,kebab,5,play-video,play-video,3.691,True
add item,camelCase,5,addItem,addInterest,1.941,False
calculate sum,camelCase,5,calculateSum,calculateSum,3.240,True
find user,camelCase,5,findUser,findUser,4.153,True
send email,camelCase,5,sendEmail,sendEmail,2.741,True
calculate sum,kebab,5,calculate-sum,calculate-sum,3.372,True
find user,kebab,5,find-user,find-user,2.310,True
find user,camelCase,5,findUser,findUser,3.047,True
create account,camelCase,5,createAccount,createAccount,1.544,True
update record,kebab,5,update-record,update-recall,3.858,False
delete user,kebab,5,delete-user,delete-user,2.554,True
load file,kebab,5,load-file,load-file,2.423,True
delete user,camelCase,5,deleteUser,deleteUser,1.705,True
search item,camelCase,5,searchItem,searchItem,2.848,True
delete user,kebab,5,delete-user,delete-user,3.122,True
load file,kebab,5,load-file,load-file,3.959,True
add item,kebab,6,add-item,add-item,5.205,True
calculate sum,kebab,6,calculate-sum,calculate-sun,1.091,False
find user,kebab,6,find-user,find-usher,0.938,False
load file,kebab,6,load-file,lead-file,16.626,False
send email,kebab,6,send-email,send-emil,0.304,False
create account,kebab,6,create-account,crate-account,0.289,False
update record,kebab,6,update-record,update-recall,0.279,False
delete user,kebab,6,delete-user,dilate-user,0.178,False
search item,kebab,6,search-item,search-idea,0.167,False
play video,kebab,6,play-video,play-veto,0.759,False
add item,camelCase,6,addItem,addInterest,0.124,False
calculate sum,camelCase,6,calculateSum,createSum,0.116,False
find user,camelCase,6,findUser,findUse,0.394,False
load file,camelCase,6,loadFile,leadFile,0.178,False
send email,camelCase,6,sendEmail,sendEmil,0.165,False
create account,camelCase,6,createAccount,crateAccount,0.380,False
update record,camelCase,6,updateRecord,updateRecall,0.149,False
delete user,camelCase,6,deleteUser,dilateUser,0.136,False
search item,camelCase,6,searchItem,searchIdea,0.328,False
play video,camelCase,6,playVideo,playVeto,0.166,False
add item,kebab,7,add-item,add-item,2.234,True
load file,camelCase,7,loadFile,loadFile,3.648,True
send email,kebab,7,send-email,send-email,3.579,True
update record,camelCase,7,updateRecord,updateRecord,2.903,True
play video,camelCase,7,playVideo,playVideo,2.720,True
search item,kebab,7,search-item,search-item,3.094,True
play video,kebab,7,play-video,play-video,1.683,True
add item,camelCase,7,addItem,addItem,3.430,True
calculate sum,camelCase,7,calculateSum,calculateSum,2.674,True
find user,camelCase,7,findUser,findUser,2.278,True
send email,camelCase,7,sendEmail,sendEmail,5.171,True
calculate sum,kebab,7,calculate-sum,calculate-sum,2.303,True
find user,kebab,7,find-user,find-user,2.848,True
find user,camelCase,7,findUser,findUser,2.911,True
create account,camelCase,7,createAccount,createAccount,2.292,True
update record,kebab,7,update-record,update-record,3.268,True
delete user,kebab,7,delete-user,delete-user,3.418,True
load file,kebab,7,load-file,load-file,4.992,True
